gene	sample20181126-B3-A00289_capture5-wdd-20181122_I4	sample20181126-B3-A00289_capture4-wdd-20181122_I5	sample20181126-B3-A00289_capture5-wdd-20181122_I8	sample20181126-B3-A00289_capture4-wdd-20181122_I7	sample20181126-B3-A00289_capture6-wdd-20181122_I6	sample20181126-B3-A00289_capture6-wdd-20181122_I11	sample20181126-B3-A00289_capture4-wdd-20181122_I6	sample20181126-B3-A00289_capture5-wdd-20181122_I2	sample20181126-B3-A00289_capture6-wdd-20181122_I1	sample20181126-B3-A00289_capture4-wdd-20181122_I10	sample20181126-B3-A00289_capture6-wdd-20181122_I5	sample20181126-B3-A00289_capture6-wdd-20181122_I3	sample20181126-B3-A00289_capture4-wdd-20181122_I9	sample20181126-B3-A00289_capture4-wdd-20181122_I8	sample20181126-B3-A00289_capture5-wdd-20181122_I1	sample20181126-B3-A00289_capture6-wdd-20181122_I9	sample20181126-B3-A00289_capture5-wdd-20181122_I3	sample20181126-B3-A00289_capture5-wdd-20181122_I11	sample20181126-B3-A00289_capture5-wdd-20181122_I6	sample20181126-B3-A00289_capture6-wdd-20181122_I2	sample20181126-B3-A00289_capture5-wdd-20181122_I7	sample20181126-B3-A00289_capture6-wdd-20181122_I10	sample20181126-B3-A00289_capture5-wdd-20181122_I5	sample20181126-B3-A00289_capture6-wdd-20181122_I7	sample20181126-B3-A00289_capture5-wdd-20181122_I10	sample20181126-B3-A00289_capture6-wdd-20181122_I8	sample20181126-B3-A00289_capture5-wdd-20181122_I9	sample20181126-B3-A00289_capture6-wdd-20181122_I4	Median_GCS	cut_off	sample20190412-B2-A00168_capture20190411-2_I1-GCS	sample20190412-B2-A00168_capture20190411-2_I1-CopyRatio	Exon_counts	Filter	CopyNumber
DAXX	0.972862377559	0.215532636101	0.52522984349	-0.613658993542	1.12017516185	-0.645869798724	1.16096627928	0.40671237966	1.18631217585	-1.57845678085	-2.41994530585	1.96130758835	1.76754125513	-0.325580503365	3.30130722381	1.22332025188	-0.356732357533	-0.51407086234	-3.55079103964	-0.981138607697	0.18373099379	0.765909234342	-1.67561285691	0.651491887892	0.208235541019	0.713866085352	-1.32969799922	-2.37294580967	0.21188408856	3.30130722381	-3.8513432589	-0.276971737783	8	PASS	1.6506431526
EGFR	-1.69277599342	-1.08491275278	0.0884793428338	0.159329982791	2.30970700608	3.13877286736	-0.756289491396	-1.10317817074	-1.14009612964	1.25629853487	-1.60073085635	-0.0231600996194	0.465587898307	-1.27735124588	-2.24037305579	0.321520157823	0.237218483806	0.986129149961	1.87703133334	-1.97019447118	0.0410994691786	1.91042149316	-0.626019850876	-1.26071459641	2.15410123456	-2.1886564851	1.63106408303	0.387692162074	0.0647894060062	2.30970700608	10.172247714	0.186472377507	33	PASS	2.27595554337
FAT1	11.4890838554	-0.447130253028	-0.539566932809	1.29898500875	0.44005258449	1.53790825583	0.380182813661	-0.391076513927	-1.06317367322	0.499892216444	-3.27379522312	-3.04218451929	0.128074606394	0.464420684755	-2.23516064879	-0.0666019606785	-0.750262570429	-0.091618925495	2.05459744758	-1.99167785541	-0.406612596469	-1.20478705552	-0.799105228161	0.21756143298	0.411265503675	-2.13000293402	-0.549924984716	0.0606574650883	-0.241347719711	3.27379522312	-10.5531853581	-0.0550294161489	27	PASS	1.92514963254
FGFR1	16.8107958377	-0.285865910219	-0.871065515269	-2.18617476542	-2.54371697907	1.85349508662	-0.0441313564924	-0.0262163888859	-1.18199658376	-2.68191423614	1.59051493888	-0.788854654521	0.508530372338	-1.59215359216	-4.07206769683	-0.185012388281	-1.4434174202	1.84797933029	-0.968339780079	-0.810209225595	0.319740505133	-1.72243192037	-1.31343462473	-0.061484887914	0.27766501195	0.156531863028	-0.0448717098279	-0.541893310173	-0.413879610196	4.07206769683	24.4676049703	0.408773245858	51	PASS	2.65511296926
GNAQ	-1.97235925145	0.165324877493	-0.264630585624	-0.732576586193	1.88915057895	-1.57520525239	-0.207617316134	0.783932782115	0.61561861622	0.404789799867	-0.377886059266	1.15831999968	-0.0938398763151	-0.55697171237	3.4933862977	0.147013671357	0.454449488604	-1.17467809798	-0.126160257024	-1.21207947646	1.64198128405	3.45019948239	-0.365881991856	-1.74141694621	-0.868316541021	-1.97079397607	-1.27290875057	0.309155798518	-0.166888786579	3.45019948239	-9.97864089962	-0.111542557654	7	PASS	1.85119573068
GNAS	-4.52752180993	0.949435890587	0.0541936245798	-0.91809264211	0.775871532741	-4.05821743842	1.43214939701	-0.530355090664	-0.341765572115	0.232420951334	1.97448438397	0.357683689899	1.59473621674	0.440201916316	1.21413339119	-1.33009493964	0.386313238906	-1.25510446936	-0.0785228162824	0.0722272361308	0.404827925701	-0.00749864220145	-0.0615290667375	0.739078601738	0.334919818512	0.446604436807	1.12149906532	0.577921169971	0.346301754206	4.05821743842	10.2165035309	0.321058289623	21	PASS	2.49849319661
IDH2	-7.11878176729	-1.2374197785	-0.14896940223	-2.41314558915	1.94124164022	-0.323983383855	-0.775000286311	0.532584330025	0.666876974613	-1.35602520092	1.14115618498	1.20718207183	-0.678136427173	-0.283115004831	2.29700756772	1.94218237742	-0.309081555146	-0.607840292707	0.265610344124	1.22533792435	0.843822506129	1.41872254359	-0.858090285724	1.60152189353	0.113841449933	0.577792969642	-0.57382645325	0.908534648989	0.189725897028	2.41314558915	4.70985714242	0.109221688827	11	PASS	2.1572923339
KDR	-6.38892586907	0.908122219338	-2.12467674147	1.49680223578	1.68386731911	2.24259708615	0.866438026587	-0.12107908471	-0.940592971731	1.60685867094	-1.22823599317	-0.25482722484	-0.623582690238	0.447634225513	0.37426182293	0.446225341157	-0.119547924816	0.395310789879	-1.72170453753	-0.852832513922	0.352389202593	1.94929301571	1.02484807098	0.159543659057	1.94857831523	-1.53380304055	0.0652337884245	-0.0581951973185	0.255966430825	2.24259708615	-17.7965816131	-0.217828259258	30	PASS	1.71971767826
KIT	-6.07688713372	-0.471584419664	0.299344699727	1.21193235889	2.02050144232	-0.256993456284	0.193364855472	-0.271899260662	-1.04319529902	4.1214523921	-1.3323750896	-0.136726787441	-0.0484576139195	0.413230951984	2.19454111761	-0.658601800644	0.924072571362	-0.49123113742	0.39773413904	-0.432925738814	0.582823147986	0.926749668588	0.171813698548	-0.684683318352	0.128879382829	-1.01002031689	-0.479959503301	-0.190899550712	-0.0925922006803	4.1214523921	-11.0413965887	-0.144553383425	21	PASS	1.80931878109
MEN1	0.524658076255	0.526064139342	-0.922198657371	-0.0251555230951	0.727960519956	0.709081849917	0.519628409186	0.211238649088	0.445752899256	0.590846250084	-1.50707864326	-0.125758661811	-0.0123576137801	0.230226095124	2.97096889867	1.28227058039	-1.2353974416	-1.02412930623	-0.518360505051	-0.221018368286	-1.36126594488	1.57337156145	-0.572685681901	-0.818996367078	0.220235044811	-1.05810943642	-1.88388100111	0.754090178346	0.0994405176537	1.88388100111	-2.90835511771	-0.00659265521631	9	PASS	1.99088148946
MET	-0.507593401548	0.738090871763	-0.0945956332302	1.69507040581	2.25106362598	0.00329946806035	-0.960855735996	-1.84166330943	0.115801453666	0.549208870308	-2.4218351318	1.45654216549	-1.41308830021	-1.67050829191	0.625746174526	1.53957209777	1.00024205611	-1.37419616294	1.20539146995	-0.913789975899	0.278920953422	2.32019661849	0.795520016512	-1.94271933728	1.07168011848	-2.74237155472	1.13968201532	-0.902811546683	0.197361203544	2.4218351318	10.2948526189	0.119281490729	22	PASS	2.17238753561
MLH1	-13.3532695449	0.691024898745	-1.14240083952	0.540448120451	0.347601448468	-0.0323082598761	0.0964730699024	0.350062358026	0.338506030381	0.568693009095	1.99488936697	0.762142509786	1.9185415406	2.01860935448	1.9108793737	0.806162697108	-0.831201878927	-0.684715920382	0.329503914669	0.735160846718	1.41970719829	-0.03809057521	0.173045800399	0.601266262828	0.0342295968217	0.0966511885945	0.359200445057	-0.0108120122466	0.348831903247	2.01860935448	-3.23815960858	-0.0500946367211	21	PASS	1.93174593661
